2026-06-16 14:32:42,454 | __main__ | INFO |   roc_auc: 0.6807 vs 0.7230 → XGBoost better
2026-06-16 14:32:42,454 | __main__ | INFO |   mcc: 0.1820 vs 0.2635 → XGBoost better
2026-06-16 14:32:42,454 | __main__ | INFO |   kappa: 0.1778 vs 0.2105 → XGBoost better
2026-06-16 14:32:42,454 | __main__ | INFO | McNemar test (cv): χ² = 797.0978, p = 0.0000
2026-06-16 14:32:42,454 | __main__ | INFO |   Models perform differently
2026-06-16 14:32:42,455 | __main__ | INFO | McNemar test (test): χ² = 199.1835, p = 0.0000
2026-06-16 14:32:42,455 | __main__ | INFO |   Models perform differently
2026-06-16 14:32:42,455 | __main__ | INFO | Generating learning curves for random_forest...
2026-06-16 14:32:58,905 | __main__ | INFO | Saved learning curves: ML_MODELS_NOSHOW/plots/learning_curves_noshow_random_forest.png
2026-06-16 14:32:58,905 | __main__ | INFO | Generating learning curves for xgboost...
2026-06-16 14:33:02,169 | __main__ | INFO | Saved learning curves: ML_MODELS_NOSHOW/plots/learning_curves_noshow_xgboost.png
2026-06-16 14:33:02,169 | __main__ | INFO | ================================================================================
2026-06-16 14:33:02,169 | __main__ | INFO | FINAL RECOMMENDATION - No-Show Prediction
2026-06-16 14:33:02,169 | __main__ | INFO | ================================================================================
2026-06-16 14:33:02,169 | __main__ | INFO | Best performing model on TEST SET: XGBoost (ROC-AUC = 0.7230)
2026-06-16 14:33:02,169 | __main__ | INFO | 
2026-06-16 14:33:02,169 | __main__ | INFO | Model comparison:
2026-06-16 14:33:02,169 | __main__ | INFO |   Random Forest AUC: 0.6807
2026-06-16 14:33:02,169 | __main__ | INFO |   XGBoost AUC: 0.7230
2026-06-16 14:33:02,169 | __main__ | INFO |   → XGBoost outperforms Random Forest on test data
2026-06-16 14:33:02,169 | __main__ | INFO | 
2026-06-16 14:33:02,169 | __main__ | INFO | Key Insights for No-Show Prediction:
2026-06-16 14:33:02,169 | __main__ | INFO |   1. SMS_received is the most important predictor
2026-06-16 14:33:02,169 | __main__ | INFO |   2. Age and WaitDays are also significant factors
2026-06-16 14:33:02,169 | __main__ | INFO |   3. Class imbalance (3.95:1) requires careful handling
2026-06-16 14:33:02,169 | __main__ | INFO | ================================================================================
2026-06-16 14:33:02,169 | __main__ | INFO | PREDICTIVE MODELING FOR NO-SHOW COMPLETED
2026-06-16 14:33:02,169 | __main__ | INFO | Results saved in: ML_MODELS_NOSHOW/
2026-06-16 14:33:02,169 | __main__ | INFO | ================================================================================
